model,features,accuracy,precision,recall,fold,dataset
SVC,main_verb,0.5384615384615384,0.5384615384615384,0.5384615384615384,1,vignettes_mccurrie
KNeighborsClassifier,main_verb,0.4615384615384616,0.4615384615384616,0.4615384615384616,2,vignettes_mccurrie
GaussianNB,main_verb,0.38461538461538464,0.38461538461538464,0.38461538461538464,2,vignettes_mccurrie
LogisticRegression,main_verb,0.6153846153846154,0.6153846153846154,0.6153846153846154,2,vignettes_mccurrie
SVC,main_verb,0.5384615384615384,0.5384615384615384,0.5384615384615384,2,vignettes_mccurrie
KNeighborsClassifier,main_verb,0.5833333333333334,0.5833333333333334,0.5833333333333334,3,vignettes_mccurrie
GaussianNB,main_verb,0.5,0.5,0.5,3,vignettes_mccurrie
LogisticRegression,main_verb,0.5833333333333334,0.5833333333333334,0.5833333333333334,3,vignettes_mccurrie
SVC,main_verb,0.4166666666666667,0.4166666666666667,0.4166666666666667,3,vignettes_mccurrie
KNeighborsClassifier,main_verb,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
GaussianNB,main_verb,0.25,0.25,0.25,4,vignettes_mccurrie
LogisticRegression,main_verb,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
SVC,main_verb,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
KNeighborsClassifier,main_verb,0.15,0.15,0.15,0,vignettes_clifford
GaussianNB,main_verb,0.4,0.4,0.4,0,vignettes_clifford
LogisticRegression,main_verb,0.45,0.45,0.45,0,vignettes_clifford
SVC,main_verb,0.4,0.4,0.4,0,vignettes_clifford
KNeighborsClassifier,main_verb,0.35,0.35,0.35,1,vignettes_clifford
GaussianNB,main_verb,0.55,0.55,0.55,1,vignettes_clifford
LogisticRegression,main_verb,0.6,0.6,0.6,1,vignettes_clifford
SVC,main_verb,0.5,0.5,0.5,1,vignettes_clifford
KNeighborsClassifier,main_verb,0.45,0.45,0.45,2,vignettes_clifford
GaussianNB,main_verb,0.55,0.55,0.55,2,vignettes_clifford
LogisticRegression,main_verb,0.7,0.7,0.7,2,vignettes_clifford
SVC,main_verb,0.4,0.4,0.4,2,vignettes_clifford
KNeighborsClassifier,main_verb,0.35,0.35,0.35,3,vignettes_clifford
GaussianNB,main_verb,0.4,0.4,0.4,3,vignettes_clifford
LogisticRegression,main_verb,0.6,0.6,0.6,3,vignettes_clifford
SVC,main_verb,0.5,0.5,0.5,3,vignettes_clifford
KNeighborsClassifier,main_verb,0.21052631578947367,0.21052631578947367,0.21052631578947367,4,vignettes_clifford
GaussianNB,main_verb,0.4736842105263158,0.4736842105263158,0.4736842105263158,4,vignettes_clifford
LogisticRegression,main_verb,0.5789473684210527,0.5789473684210527,0.5789473684210527,4,vignettes_clifford
SVC,main_verb,0.5263157894736842,0.5263157894736842,0.5263157894736842,4,vignettes_clifford
KNeighborsClassifier,emotion,0.11,0.11,0.11,0,vignettes_chadwick
GaussianNB,emotion,0.14,0.14,0.14,0,vignettes_chadwick
LogisticRegression,emotion,0.08,0.08,0.08,0,vignettes_chadwick
SVC,emotion,0.18,0.18,0.18,0,vignettes_chadwick
KNeighborsClassifier,emotion,0.09,0.09,0.09,1,vignettes_chadwick
GaussianNB,emotion,0.15,0.15,0.15,1,vignettes_chadwick
LogisticRegression,emotion,0.12,0.12,0.12,1,vignettes_chadwick
SVC,emotion,0.11,0.11,0.11,1,vignettes_chadwick
KNeighborsClassifier,emotion,0.11,0.11,0.11,2,vignettes_chadwick
GaussianNB,emotion,0.05,0.05,0.05,2,vignettes_chadwick
LogisticRegression,emotion,0.08,0.08,0.08,2,vignettes_chadwick
SVC,emotion,0.1,0.1,0.1,2,vignettes_chadwick
KNeighborsClassifier,emotion,0.09,0.09,0.09,3,vignettes_chadwick
GaussianNB,emotion,0.13,0.13,0.13,3,vignettes_chadwick
LogisticRegression,emotion,0.04,0.04,0.04,3,vignettes_chadwick
SVC,emotion,0.12,0.12,0.12,3,vignettes_chadwick
KNeighborsClassifier,emotion,0.07,0.07,0.07,4,vignettes_chadwick
GaussianNB,emotion,0.12,0.12,0.12,4,vignettes_chadwick
LogisticRegression,emotion,0.08,0.08,0.08,4,vignettes_chadwick
SVC,emotion,0.12,0.12,0.12,4,vignettes_chadwick
KNeighborsClassifier,emotion,0.3076923076923077,0.3076923076923077,0.3076923076923077,0,vignettes_mccurrie
GaussianNB,emotion,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,vignettes_mccurrie
LogisticRegression,emotion,0.6153846153846154,0.6153846153846154,0.6153846153846154,0,vignettes_mccurrie
